City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
364,marzuq,20,YE,1563409624,53,14.4,46.47,76.02,7.07
365,malinyi,88,TZ,1563409624,55,-8.94,36.14,69.54,2.75
366,baruun-urt,48,MN,1563409625,57,46.68,113.28,74.76,7.38
367,manokwari,58,ID,1563409462,62,-0.87,134.08,80.7,7.63
368,okha,48,RU,1563409625,86,53.59,142.95,61.8,12.82
369,trairi,73,BR,1563409626,88,-3.28,-39.27,72.24,4.05
370,visnes,90,NO,1563409626,93,59.36,5.22,57.2,11.41
371,visby,34,SE,1563409626,100,57.64,18.3,52.0,3.15
372,ipixuna,64,BR,1563409626,97,-1.76,-48.8,72.96,2.95
373,chuy,9,UY,1563409523,89,-33.69,-53.46,53.52,9.37
374,ibicarai,75,BR,1563409627,88,-14.87,-39.59,71.6,11.41
375,sulangan,100,PH,1563409628,70,11.14,123.72,81.42,5.01
376,marawi,85,PH,1563409628,67,8.0,124.29,81.0,3.0
377,constitucion,75,MX,1563409335,24,23.99,-104.67,80.6,6.93
378,sao gabriel da cachoeira,67,BR,1563409628,71,-0.13,-67.09,78.9,2.39
379,tebingtinggi,100,ID,1563409629,93,3.33,99.16,74.94,2.48
380,yar-sale,95,RU,1563409629,70,66.83,70.83,65.94,12.19
381,jalingo,75,NG,1563409629,84,10.3,10.93,75.12,10.54
